S.no;World Ranking;Germany Ranking;_University Name;University Name link;Course Type;Course Sub_Type;City;Course Name;Course Germany Ranking;Teaching language;_language Req.;Admission without IELTS/TOEFL;Required German Grade;GRE;"Tution Fee ";Tuition Fee Per;Beginning Semester;Application DeadLine for winter;Application DeadLine for Summer;Duration;Go to course website;Submit application to;Logo URL;Responsible Person;_Daad SIte;Updated on;State;Comment;Tags_Alternate;Uni_Type;Type of Course;;Application Deadline(EU/Non EU);University's Official emails;Fees link;LOI Additional;Study Type;Focus;Target group;Annotation;Admission modus;Admission requirements;Area of study;Admission requirements on Official Webpage;ECTS;Mode of Admission;Study Mode;Admission Test/Interview;Application;Required German Language Test;"Commented by Abhishek ";MGU_LINK
11;695;50;University of Hohenheim;https://howtoabroad.com/university-of-hohenheim/;Master;Master;Jena;Agricultural Economics (AgEcon);3 (For Agricultural Economics);English;;;;;Varied;;Winter;15-Mar;;4 semesters;https://www.uni-hohenheim.de/en/application-agecon-info/;;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/University-of-Hohenheim.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3723/;11-June;Thuringia;;;;;;No information;international-office@uni-weimar.de / christian.eckert@uni-weimar.de.de / christian.eckert@uni-weimar.de;Not given;;undergraduate;Fine Arts, Performance, Experimental Painting and Drawing, Photography, Sculpture, Object, Installation, Video, New Artistic Strategies, Art and Social Space, Media Art, New Media;;Current information on degrees during the Coronavirus pandemic: www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/servicezentrum-sicherheitsmanagement/information-zum-coronavirus/;Selection procedure / qualifying examination;Artistic aptitude test;Fine Arts / Photography / Painting / Performances;https://www.uni-weimar.de/de/kunst-und-gestaltung/studium/freie-kunst/freie-kunst-mit-dem-abschluss-diplom/;;;;;;;;
12;695;50;University of Hohenheim;https://howtoabroad.com/university-of-hohenheim/;Master;Master;Stuttgart;Agricultural Sciences in the Tropics and Subtropics (AgriTropics);2 (For Agricultural Science);English;;;;;Varied;;Winter;15-Mar;;4 semesters;https://www.uni-hohenheim.de/en/agricultural-sciences-in-the-tropics-and-subtropics-masters;https://www.uni-hohenheim.de/en/application-agritopics-info;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/University-of-Hohenheim.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3788/;11-June;Baden-Wurttemberg;;;;;;No information;international-office@uni-weimar.de / christian.eckert@uni-weimar.de.de / christian.eckert@uni-weimar.de / hci-info@medien.uni-weimar.de;Not given;;graduate;Usability, User Centred Design, User Interface Testing & Research, Virtual Reality, Mobile Systems, Adaptive Systems, Mixed Reality, Ubiquitous Computing, Graphic Interfaces;Graduates of an undergraduate degree course in Computer Science related to Media or HCI;"The course is taught in English.
Prospective students who have obtained their first university degree outside the European Union (EU), must apply via: www.uni-assist.de.
    Admissions deadline (winter semester): 15 August
Admissions deadline (summer semester): 15 January
Applicants who graduated within the European Union (EU) and do not require a visa apply online at: Online Application.
    Admissions deadline (winter semester): 30 September
Admissions deadline (summer semester): 31 March 
Current information on degrees during the Coronavirus pandemic: www.uni-weimar.de/de/universitaet/struktur/zentrale-einrichtungen/servicezentrum-sicherheitsmanagement/information-zum-coronavirus/";Selection procedure / qualifying examination;Requirement for admission to the course in Human-Computer Interaction is a Bachelor of Science with a grade of at least 'good' in the courses in Human-Computer Interaction (HCI) or Media Informatics or a first professionally qualifying degree recognised by the Examination Board responsible as relevant to the subject, or a degree from a state or state-certified vocational academy. Degree courses in Media Technology, Human-Computer Interaction, Media Informatics and Computer Science as well as other technical degree courses related to HCI, which are taken as major subjects, are considered to be relevant. Language skills in English to level B2 and German to level A1;;https://www.uni-weimar.de/de/medien/studium/human-computer-interaction-msc/application-procedure/;;;;;;;;
13;264;23;University of Stuttgart;https://howtoabroad.com/university-of-stuttgart/;Master;Master;Stuttgart;Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE);;English;;;;;Varied;;Winter;15-Feb;;4 semesters;https://www.waste.uni-stuttgart.de/;https://www.waste.uni-stuttgart.de/about-us/application-procedure/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2022/01/University-of-Stuttgart-1.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3676/;11-June;Baden-Wurttemberg;;;;;;No information;international-office@uni-weimar.de / christian.eckert@uni-weimar.de.de / christian.eckert@uni-weimar.de / studienberatung@archit.uni-weimar.de;Not given;;graduate;Town Planning, City and Spatial Problem Solving, Country-specific (Germany / China) course content;Town planners, urban developers, architects;Up-to-date information on degrees during the Coronavirus pandemic:;Selection procedure / qualifying examination;"Applicants from countries of the European Union (EU) including Switzerland: 18 July 2021. 
Applicants from all other countries: 15 May 2021.";;https://www.uni-weimar.de/de/architektur-und-urbanistik/institute/bauhaus-ifex/studium-iudd-msc/;;;;;;;;
14;338;27;TU Darmstadt;https://howtoabroad.com/technical-university-darmstadt/;Master;Master;Darmstadt;AMIS Master - International Master in Advanced Materials for Innovation & Sustainability;;English;;;;;Varied;;Winter;30-Apr;;4 semesters;https://amis-master.eitrawmaterials.eu/study/#overview;https://amis-master.eitrawmaterials.eu/study/#apply;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/TUD.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6266/;11-June;Hesse;;;;;;expired (EU), expired (Non-EU);hillemann-delaney@tu-berlin.de / telefonservice@tu-berlin.de / studienberatung.ept@fakultaet3.tu-berlin.de;https://www.tu.berlin/studieren/studienorganisation/themen-a-z/semesterbeitraege/;;graduate;Building Engineering, Plant Technology, Renewable Energy Sources, Cleanroom Technology, Fire Protection, Green Building Engineering, Energy Systems, Interior Climate;Holders of Bachelor's degrees in Energy and Process Engineering;;open admission;Please follow the weblink:;Electrical Power Engineering / Building Services / Supply Engineering;https://www.tu.berlin/studierendensekretariat/bewerbung-einschreibung-master/;;;;;;;;
15;2756;101;Bonn-Rhine-Sieg University of Applied Sciences;https://howtoabroad.com/hochschule-bonn-rhein-sieg/;Master;Master;Eberswalde;Analysis and Design of Social Protection Systems (MA);82 (For Art and Design);English;;;;;None;;Winter;31-Mar;;4 semesters;https://www.h-brs.de/en/sv/study/master/analysis-and-design-social-protection-systems;https://www.h-brs.de/en/sv/adsps-application-process;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/Hochschule-Bonn-Rhein-Sieg.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4469/;11-June;Brandenburg;;;;;;expired (EU), expired (Non-EU);hillemann-delaney@tu-berlin.de / telefonservice@tu-berlin.de / studienberatung@chemie.tu-berlin.de;https://www.tu.berlin/studieren/studienorganisation/themen-a-z/semesterbeitraege/;;graduate;;;;open admission;Please follow the weblink:;;https://www.tu.berlin/studierendensekretariat/bewerbung-einschreibung-master/;;;;;;;;
16;4412;155;Coburg University;https://howtoabroad.com/coburg-university/;Master;Master;Coburg;Analytical Instruments, Measurement and Sensor Technology (AIMS);;English;;;;;€3,500;Semester;Winter;30-Jun;;4 semesters;https://www.hs-coburg.de/studium/master/technik-informatik/analytical-instruments-measurement-and-sensor-technology.html;https://www3.primuss.de/cgi-bin/bew_anmeldung_v2/index.pl?Session=&FH=fhc&Email=&Portal=1&Language=en;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/1-254.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3949/;11-June;Bavaria;;;;;;;aaa@udk-berlin.de / aaa@udk-berlin.de / studienberatung@udk-berlin.de / sabine.carossa@intra.udk-berlin.de / studienberatung@udk-berlin.de;Not given;;graduate;Organ, Organ Improvisation;Graduates of the Bachelor's degree course in Organ/Organ Improvisation at UdK Berlin or another higher education institution;;Selection procedure / qualifying examination;"Bachelor's degree in the subject Organs/Organ Improvisation,
special artistic talent";;https://www.udk-berlin.de/bewerbung/bewerbungsguide/;;;;;;;;
17;481;41;University of Potsdam;https://howtoabroad.com/university-of-potsdam/;Master;Master;Potsdam;Anglophone Modernities in Literature and Culture;NA;English;IELTS 6.5/TOEFL(iBT 95)/Others;YES;;NA;None;;Winter, Summer;15-Aug;15-Feb;4 semesters;https://www.uni-potsdam.de/en/studium/what-to-study/master/masters-courses-from-a-to-z/anglophone-modernities-in-literature-and-culture-master;;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/University-of-Potsdam.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4325/;11-June;Brandenburg;;;;;;July 2022 (EU), July 2022 (Non-EU);io@uni-bielefeld.de / io.leitung@uni-bielefeld.de / zsb@uni-bielefeld.de;https://www.uni-bielefeld.de/studium/studierende/studienorganisation/rueckmeldung/;;graduate;;;"This subject can be studied in a Master of Education, with focus on Teaching Qualification (Primary school-level, Hauptschul-level and Realschul-level) with Teaching Qualification (Special Needs School Education)/Teaching Natural Sciences (as second teaching subject\; four semesters).";no admission of first-year students;Admission requirements for the Master of Education course at the Bielefeld University are participation in a compulsory guidance procedure and a first degree in a suitable degree course.;Special Pedagogy, inclusive Pedagogy (Teaching Degree) / Chemistry (Teaching Degree);https://www.uni-bielefeld.de/studium/studieninteressierte/bewerbung/;;;;;;;;
18;5877;225;SRH University Heidelberg;https://howtoabroad.com/srh-heidelberg-university/;Master;Master;Heidelberg;Applied Computer Science (MSc);8 ( computer science );English;;;;;€4,500;Semester;Winter, Summer;Any time;Any time;4 semesters;https://www.srh-hochschule-heidelberg.de/en/master/applied-computer-science/;https://apply.srh.de/en_GB/courses/course/199-msc-applied-computer-science/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/SRH-Heidelberg-University.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3981/;11-June;Baden-Wurttemberg;;;;;;August 2022 (EU), 14 days left (Non-EU);katrin.heymann@hs-bochum.de / studienberatung@hs-bochum.de / bewerbung-master@hs-bochum.de;Not given;;graduate;Accounting, Accounting, Fiscal Theory;Graduates with a professionally qualifying degree with a focus on Economics and particular interest in accounting, controlling and/or taxation.;;open admission;"1. \ tBachelor's degree with at least 210 ECTS 'Business Administration / Economics' or 'Macro-Economics' at a university within the scope of the Basic Law or a comparable Bachelor's degree with a sufficient Economic element and a grade of at least good (2.5) or at least the relative grade B \;
2. \ t Diploma course in 'Business Administration / Economics' or 'Macro-Economics' at a university within the scope of the Basic Law or a comparable diploma course with a sufficient Economics element with a grade of at least satisfactory (3.0).";Accounting, Taxation, Controlling / Economic Sciences, Economics;https://www.hochschule-bochum.de/studium-lehre/vor-dem-studium/bewerben-einschreiben/;;;;;;;;
19;130;5;University of Gottingen;https://howtoabroad.com/university-of-gottingen/;Master;Master;Göttingen;Applied Computer Science (MSc);15 ( computer science );English;IELTS-6.0/TOEFL-(iBT-80 points, PBT-550 points)/Others;YES;;NA;None;;Winter, Summer;15-Apr;15-Oct;4 semesters;https://www.uni-goettingen.de/en/40954.html;https://www.uni-goettingen.de/en/619499.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/University-of-Gottingen.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4700/;11-June;Lower Saxony;;;;;;No information;info@businessschool-berlin.de / bewerbung@businessschool-berlin.de;https://www.fakultaet-creative-business.de/modemarketing/;;undergraduate;Principles of Economics, Fashion marketing, Fashion Design, Fashion Management, Practical Projects;;"Fashion is creativity, individuality and dynamism, but behind even the most revealing brand and the funkiest creation there are sophisticated management and marketing processes without which fashion cannot function. For this reason, the Fashion Marketing degree course provides not only a broad knowledge of all facets of fashion, but also a sound understanding of the interrelationships between markets, corporate structures and target groups.
A plus of the course is the intensive promotion of communication and teamwork skills. In teaching and in practical projects, work is regularly done in teams, and ideas and strategies are repeatedly presented to real clients or within the study group.
The study of fashion marketing and Berlin as a creative location offers an ideal study and starting point for a successful career in the wide world of fashion. Whether you are working in retail, marketing, management or PR, you will find the right infrastructure and players in Berlin. The integrated project degree at home or abroad provide first insights into future professional fields. Cooperation with companies, partners in practice and lecturers from practice help to establish contacts for starting a career during the degree course and to enable a smooth transition from degree to career.";open admission;"-Qualification for university studies under Section 10 Berlin Higher Education Act (general entrance qualification for higher education, subject-restricted entrance qualification for higher education, entrance qualification for higher education at universities of applied sciences or comparable qualification certificate) or
- University admission for professionally qualified persons according to Section 11 BerlHG (Berlin Higher Education Act)
-Possibility of further study in accordance with Section 11 BerlHG (Berlin Higher Education Act)";;https://www.fakultaet-creative-business.de/modemarketing/;;;;;;;;
20;4184;150;Deggendorf Institute of Technology;https://howtoabroad.com/deggendorf-institute-of-technology-2/;Master;Master;Deggendorf;Applied Computer Science (MSc);NA;English;NA;;NA;NA;None;;Winter, Summer;15-Jul;15-Jan;3 semesters;https://www.th-deg.de/ai-m-en;https://www.th-deg.de/en/apply#international;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/Deggendorf-Institute-of-Technology-1.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4870/;11-June;Bavaria;;;;;;No information;info@businessschool-berlin.de / bewerbung@businessschool-berlin.de;https://www.businessschool-berlin.de/bachelor/internationale-betriebswirtschaft/;;undergraduate;Marketing, Personnel Management, Financing, Business English, Organisation, Study projects;;"The world is open to you - the Bachelor of International Business Administration prepares you for a career in an international company. During your degree you will prove your international skills through the semester abroad and by working in an international company. Through the extended practical phases of the project degree, you will gain an early insight into everyday business life and work on practical business issues. As a graduate of the Bachelor's degree, you will be internationally mobile, have language skills for worldwide use and be able to deal with the challenges of a globalised economy.
Content
  In seven semesters you will be fit for a career in an international company. 
  A compulsory semester abroad is integrated into the degree.
  Practical projects and two foreign languages are included in the degree.
  Intercultural skills are intensely practised.";open admission;"-Qualification for university studies under Section 10 Berlin Higher Education Act (general entrance qualification for higher education, subject-restricted entrance qualification for higher education, entrance qualification for higher education at universities of applied sciences or comparable qualification certificate) or
- University admission for professionally qualified persons according to Section 11 BerlHG (Berlin Higher Education Act) 
-Possibility of further study in accordance with Section 11 BerlHG (Berlin Higher Education Act)";;https://www.businessschool-berlin.de/bachelor/internationale-betriebswirtschaft/#article-529;;;;;;;;
