World Ranking;Germany Ranking;University Name;Course Type;City;Course Name;Course Germany Ranking;Teaching language;Tution Fee (Per semester);Beginning Semester;Duration;Go to course website;Submit application to
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Data Science in Business and Economics (MSc);17 (For Economics), 29 (For Data Science);German,English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/data-science-in-business-and-economics-master/"" title=""Data Science in Business and Economics (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Economics and Finance (MSc);18 (For Finance), 17 (For Economics);English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/economics-and-finance-master/"" title=""Economics and Finance (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Evolution and Ecology (MSc);5 (For Evolutionary Biology), 9 (For Ecology);German,English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/evolution-and-ecology-master/"" title=""Evolution and Ecology (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;General Management (MSc);32 (For Management);German,English;varied;Winter;3 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/general-management-master/"" title=""General Management (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Machine Learning (MSc);11 (For Machine Learning);English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/machine-learning-master/"" title=""Machine Learning (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Management and Economics (MSc);32 (For Management), 17 (For Economics);English;varied;Winter;3 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/management-and-economics-master/"" title=""Management and Economics (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Master's in Public Policy and Social Change;15 (For Public Policy / Administration);English;1.500,00;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/master-of-public-policy-and-social-change-master/"" title=""Master's in Public Policy and Social Change"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Mathematical Physics (MSc);" 20 (For Physics)";English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/mathematical-physics-master/"" title=""Mathematical Physics (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Medical Informatics (MSc);5 (For Bioinformatics and Computational biology);English;1.500,00;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/medical-informatics-master/"" title=""Medical Informatics (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Molecular Medicine (Master of Science);7 (For Molecular Biology);English;varied;Winter;2 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/molekulare-medizin-master/"" title=""Molecular Medicine (Master of Science)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Nanoscience (MSc);17 (For Nanotechnology);English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/nano-science-master/"" title=""Nanoscience (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Master's in Peace Research and International Relations;3 (For International Relations);English;1.500,00;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/peace-research-and-international-relations-master/"" title=""Master's in Peace Research and International Relations"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Physics (MSc);" 20 (For Physics)";English;varied;Winter, Summer;2 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/physics-master/"" title=""Physics (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Quantitative Data Science Methods – Psychometrics, Econometrics and Machine Learning (QDS);18 (For Econometrics), 11 (For Machine Learning), 29 (For Data Science);English;1.500,00;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/quantitative-data-science-methods-psychometrics-econometrics-and-machine-learning-master/"" title=""Quantitative Data Science Methods – Psychometrics, Econometrics and Machine Learning (QDS)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Molecular Cell Biology and Immunology (MSc);5 (For Immunology), 7 (For Molecular Biology);German,English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/interfakultaere-einrichtungen/interfakultaeres-institut-fuer-zellbiologie-ifiz/master-program/"" title=""Molecular Cell Biology and Immunology (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;International Economics (MSc) with Double Degree Option with the University of Nottingham;8 (For International Economics);English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/fakultaeten/wirtschafts-und-sozialwissenschaftliche-fakultaet/faecher/fachbereich-wirtschaftswissenschaft/wirtschaftswissenschaft/international/international-study-programs/double-degree-program-with-the-university-of-nottingham/"" title=""International Economics (MSc) with Double Degree Option with the University of Nottingham"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces?page=Application/Registration"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;Economics (MSc) with Double Degree Option: Honours BSc, Adelaide or MSc, Nottingham;17 (For Economics);English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/fakultaeten/wirtschafts-und-sozialwissenschaftliche-fakultaet/faecher/fachbereich-wirtschaftswissenschaft/wirtschaftswissenschaft/studium/studiengaenge/master/msc-european-economics/msc-european-economics-with-nottingham/"" title=""Economics (MSc) with Double Degree Option: Honours BSc, Adelaide or MSc, Nottingham"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;European Economics (MSc) - Double Degree with Italy or England;17 (For Economics);English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/fakultaeten/wirtschafts-und-sozialwissenschaftliche-fakultaet/faecher/fachbereich-wirtschaftswissenschaft/wirtschaftswissenschaft/studium/studiengaenge/master/msc-european-economics/msc-european-economics-with-pavia/"" title=""European Economics (MSc) - Double Degree with Italy or England"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
136;7;"<a href=""https://howtoabroad.com/university-of-tubingen/"" title=""University of Tübingen"" target=""_blank"" rel=""noopener"">University of Tübingen</a> ";Master's degree;Tubingen;International Business (MSc) - East Asia or Africa Track;9 (For International Business);German,English;varied;Winter;4 semesters;"<a href=""https://uni-tuebingen.de/fakultaeten/wirtschafts-und-sozialwissenschaftliche-fakultaet/faecher/fachbereich-wirtschaftswissenschaft/wirtschaftswissenschaft/studium/studiengaenge/master/msc-international-business/"" title=""International Business (MSc) - East Asia or Africa Track"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces?page=Application/Registration"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
742;53;"<a href=""https://howtoabroad.com/university-of-oldenburg/"" title=""University of Oldenburg"" target=""_blank"" rel=""noopener"">University of Oldenburg</a>";Master's degree;;Research Master of Neurocognitive Psychology;36 (For Neuroscience);English;none;Winter;4 semesters;"<a href=""https://uol.de/en/psychology/master/course-overview"" title=""Research Master of Neurocognitive Psychology"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-assist.de/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
742;53;"<a href=""https://howtoabroad.com/university-of-oldenburg/"" title=""University of Oldenburg"" target=""_blank"" rel=""noopener"">University of Oldenburg</a>";Master's degree;;Master of Science in Neuroscience;36 (For Neuroscience);English;none;Winter;4 semesters;"<a href=""https://uol.de/master-neuroscience"" title=""Master of Science in Neuroscience"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.uni-assist.de/index_en.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Chemistry;" 35 (For Chemistry)";English;300,00;Winter, Summer;4 semesters;"<a href=""https://verwaltung.uni-koeln.de/abteilung21/content/studienangebot/faecheruebersicht_master/c/studiengang108986/index_ger.html"" title=""Chemistry"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://chemie.uni-koeln.de/index.php?id=435&L=1"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Double Master's Programme in Demography and Social Inequality;11 (For Demography), 6 (For Social Work);English;;Winter;4 semesters;"<a href=""https://verwaltung.uni-koeln.de/abteilung21/content/studienangebot/faecheruebersicht_master/d/studiengang125101/index_ger.html"" title=""Double Master's Programme in Demography and Social Inequality"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/demography-and-social-inequality/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Double Master's Programme in European Studies;;English;;Winter;4 semesters;"<a href=""https://verwaltung.uni-koeln.de/abteilung21/content/studienangebot/faecheruebersicht_master/e/studiengang110441/index_ger.html"" title=""Double Master's Programme in European Studies"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/european-studies/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Health Economics;8 (For Economics);German,English;none;Winter;4 semesters;"<a href=""https://verwaltung.uni-koeln.de/abteilung21/content/studienangebot/faecheruebersicht_master/h/studiengang135473/index_ger.html"" title=""Health Economics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/health-economics-and-management/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Double Master's Programme in Health Economics and Management;6 (For Managment), 8 (For Economics);English;;Winter;4 semesters;"<a href=""https://verwaltung.uni-koeln.de/abteilung21/content/studienangebot/faecheruebersicht_master/h/studiengang135473/index_ger.html"" title=""Double Master's Programme in Health Economics and Management"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/health-economics-and-management/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Information Systems;14 (For Information Technology);German,English;none;Winter;4 semesters;"<a href=""https://verwaltung.uni-koeln.de/abteilung21/content/studienangebot/faecheruebersicht_master/i/studiengang109714/index_ger.html"" title=""Information Systems"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://verwaltung.uni-koeln.de/abteilung21/content/bewerber/bewerbung_zum_ersten_fachsemester_master/index_ger.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
182;14;"<a href=""https://howtoabroad.com/university-of-munster/"" title=""University of Münster"" target=""_blank"" rel=""noopener"">University of Münster</a>";Master's degree;Münster;Master's Programme in Visual Anthropology, Media and Documentary Practices;;English;1.908,00;Winter;6 semesters;"<a href=""https://weiterbildung.uni-muenster.de/masterstudiengaenge/visual-anthropology-media-and-documentary-practices/"" title=""Master's Programme in Visual Anthropology, Media and Documentary Practices"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://weiterbildung.uni-muenster.de/masterstudiengaenge/visual-anthropology-media-and-documentary-practices/application/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Double Master's Programme in Business Administration;9 (For Business);English;none;Winter;4 semesters;"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/business-administration"" title=""Double Master's Programme in Business Administration"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/business-administration/application"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Double Master's Programme in Economics;8 (For Economics);English;none;Winter;4 semesters;"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/economics"" title=""Double Master's Programme in Economics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/de/studium/master/double-masters-programmes/economics/application"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Economic Research;8 (For Economics);English;none;Winter;4 semesters;"<a href=""https://wiso.uni-koeln.de/en/studies/master/master-economic-research"" title=""Economic Research"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/en/studies/application/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Economics;8 (For Economics);English;none;Winter;4 semesters;"<a href=""https://wiso.uni-koeln.de/en/studies/master/master-economics"" title=""Economics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/en/studies/application/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;International Management (CEMS MIM) - Master of Science;6 (For Managment);English;none;Winter;4 semesters;"<a href=""https://wiso.uni-koeln.de/en/studies/master/master-international-management-cems-mim"" title=""International Management (CEMS MIM) - Master of Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/en/studies/application/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Political Science;10 (For Political Economy);English;none;Winter;4 semesters;"<a href=""https://wiso.uni-koeln.de/en/studies/master/master-political-science"" title=""Political Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/en/studies/application/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";Master's degree;Köln;Sociology and Social Research;6 (For Social Work);English;none;Winter;4 semesters;"<a href=""https://wiso.uni-koeln.de/en/studies/master/master-sociology-and-social-research"" title=""Sociology and Social Research"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://wiso.uni-koeln.de/en/studies/documents-and-media/master-er-2021"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
650;46;"<a href=""https://howtoabroad.com/university-of-greifswald/"" title=""University of Greifswald"" target=""_blank"" rel=""noopener"">University of Greifswald</a>";Master's degree;;Earth Sciences - Georesources and the Environment;NA;English;none;Winter, Summer;4 semesters;"<a href=""https://www-uni--greifswald-de.translate.goog/studium/vor-dem-studium/studienangebot/studienfaecher/e/earth-sciences-master-of-science/?_x_tr_sl=de&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=nui,sc"" title=""Earth Sciences - Georesources and the Environment"" target=""_blank"" rel=""noopener"">Go to course website</a>";
152;10;"<a href=""https://howtoabroad.com/rwth-aachen-university/"" title=""RWTH Aachen University"" rel=""noopener"" target=""_blank"">RWTH Aachen University</a> ";Master's degree;Aachen;Robotic Systems Engineering;7  ( Robotics ),  1 (For Systems Engineering);English;5.500,00;Winter;4 semesters;"<a href=""https://www.academy.rwth-aachen.de/en/programs/masters-degree-programs/detail/msc-robotic-systems-engineering"" title=""Robotic Systems Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
152;10;"<a href=""https://howtoabroad.com/rwth-aachen-university/"" title=""RWTH Aachen University"" rel=""noopener"" target=""_blank"">RWTH Aachen University</a> ";Master's degree;Aachen;Textile Engineering;;German,English;5.500,00;Winter;4 semesters;"<a href=""https://www.academy.rwth-aachen.de/en/programs/masters-degree-programs/detail/msc-textile-engineering"" title=""Textile Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login/ee/ui/ca2/app/desktop%23?$ctx=lang=en"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
181;13;"<a href=""https://howtoabroad.com/university-of-cologne/"" title=""University of Cologne"" target=""_blank"" rel=""noopener"">University of Cologne</a>";PhD / Doctorate;Köln;Cologne Graduate School of Ageing Research;;English;;Winter semester;6 semesters;"<a href=""https://www.ageing-grad-school.de/about-us/interdisciplinary-approach-one-graduate-programme"" title=""Cologne Graduate School of Ageing Research"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.ageing-grad-school.de/phd/applications"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
238;21;"<a href=""https://howtoabroad.com/kiel-university/"" title=""Kiel University"" target=""_blank"" rel=""noopener"">Kiel University</a>";Master's degree;Kiel;Master of Science in Dairy Science;17 (For Biology);English;none;Winter;4 semesters;"<a href=""https://www.agrar.uni-kiel.de/en/studies/study-programmes/dairy-science"" title=""Master of Science in Dairy Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.agrar.uni-kiel.de/de/studium/studieninteressierte-schueler/studiengaenge/seiten-dairy-science/application-procedure-and-admission"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
238;21;"<a href=""https://howtoabroad.com/kiel-university/"" title=""Kiel University"" target=""_blank"" rel=""noopener"">Kiel University</a>";Master's degree;Kiel;Master of Science in AgriGenomics;;English;none;Winter;4 semesters;"<a href=""https://www.agrigenomics.de/en/copy_of_index.html"" title=""Master of Science in AgriGenomics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.agrigenomics.de/en/application"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
536;43;"<a href=""https://howtoabroad.com/university-of-bayreuth/"" title=""University of Bayreuth"" rel=""noopener"" target=""_blank"">University of Bayreuth</a>   ";Master's degree;;Computer Science;62 ( computer science );English;none;Winter, Summer;4 semesters;"<a href=""https://www.ai.uni-bayreuth.de/de/studium/master-computer-science/index.html"" title=""Computer Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.international-office.uni-bayreuth.de/en/degree-programmes/master-Nicht-EU/computer-science-msc/index.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
152;10;"<a href=""https://howtoabroad.com/rwth-aachen-university/"" title=""RWTH Aachen University"" rel=""noopener"" target=""_blank"">RWTH Aachen University</a> ";Master's degree;Aachen;Simulation Sciences;;English;none;Winter;4 semesters;"<a href=""https://www.aices.rwth-aachen.de/en/academics/masters-program-simulation-sciences"" title=""Simulation Sciences"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.aices.rwth-aachen.de/en/admission/fast-track-program"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
73;2;"<a href=""https://howtoabroad.com/heidelberg-university/"" title=""Universität Heidelberg  "" target=""_blank"" rel=""noopener"">Universität Heidelberg  </a>";PhD / Doctorate;Heidelberg;Graduate Programme for Transcultural Studies (GPTS);;English;;Winter semester;6 semesters;"<a href=""https://www.asia-europe.uni-heidelberg.de/en/studies/graduate-programme-for-transcultural-studies.html"" title=""Graduate Programme for Transcultural Studies (GPTS)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.asia-europe.uni-heidelberg.de/en/studies/graduate-programme-for-transcultural-studies/application.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
