_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,Course Name,Course World Ranking,Teaching language,_language Req.,_Admission without IELTS/TOFEL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine,Duration,Go to course website,Submit application to,_Daad SIte,Updated By,Checked By,Post writing ,Comment
760,93,3,(TU) Technical University Munich ,<a href="https://howtoabroad.com/technical-university-of-munich/" title="Technical University of Munich- TUM" target="_blank" >Technical University of Munich- TUM</a>,Master's degree,Mathematics in Operations Research,,English,,,,,none,Winter& Summer,,4 semesters,<a href="https://www.uni-jena.de/en/msc_biochemistry" title="Master of Science Biochemistry" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_biochemistry" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3963/,,,Phase 5,
224,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,European Studies and European Legal Studies (MA/LLM),,English,,,,,"4.250,00",Winter,,2 semesters,<a href="https://www.uni-jena.de/en/msc_business_mathematics" title="Master of Science in Business Mathematics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_business_mathematics" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6263/,,,,
489,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master International Business and Sustainability (MIBAS),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-jena.de/en/msc_chemistry_materials" title="Master of Science in Chemistry of Materials" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_chemistry_of_materials" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3745/,,,,
545,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of Laws (LLM),,German,,,,,none,Winter,,2 semesters,<a href="https://www.uni-jena.de/en/msc_economics" title="Master of Science in Economics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_economics" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4192/,,,,
738,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master's Programme in Manuscript Cultures,,English,,,,,none,Winter,,2 semesters,<a href="https://www.uni-jena.de/en/msc_evolution_ecology_systematics" title="Master of Science Evolution"," Ecology and Systematics" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6934/,,,,
1198,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master in Social & Cultural Anthropology,,German&English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-jena.de/en/msc_mathematics" title="Master of Science in Mathematics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/Studies/Study+programme/MSc_Mathematics.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4577/,,,,
1209,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of International Taxation (M.I.Tax),,German&English,,,,,"4.170,00",Winter,,3 semesters,<a href="https://www.uni-jena.de/en/msc_mathematics" title="Master of Science in Mathematics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/Studies/Study+programme/MSc_Mathematics.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3649/,,,,
1212,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of International Taxation (M.I.Tax),,German&English,,,,,"4.170,00",Winter,,2 semesters,<a href="https://www.uni-jena.de/en/msc_medical_photonics" title="Master of Science in Medical Photonics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_medical_photonics" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4394/,,,,
1248,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Peace and Security Studies,,German&English,,,,,none,Winter,,2 semesters,<a href="https://www.uni-jena.de/en/msc_microbiology" title="Master of Science in Microbiology" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_microbiology" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3648/,,,,
1272,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,European Master in Law & Economics (EMLE),,English,,,,,,Winter,,2 semesters,<a href="https://www.uni-jena.de/en/msc_molecular_life_sciences" title="Master of Science in Molecular Life Sciences" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_molecular_life_sciences" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3640/,,,,
1281,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,International Master of Chinese Law (IMCL),,English,,,,,,Winter,,4 semesters,<a href="https://www.uni-jena.de/en/msc_molecular_medicine" title="Master of Science in Molecular Medicine" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-jena.de/en/studies/study+programme/msc_molecular_medicine" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6269/,,,,
1296,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of European and International Law (MEIL) Programme (LLM) at the China-EU School of Law,,English,,,,,,Winter,,2 semesters,<a href="https://www.uni-jena.de/en/msc_photonics" title="Master of Science in Photonics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.asp.uni-jena.de/MSc_application.html%C2%A0" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4578/,,,,
647,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of Science in Mathematical Modelling in Engineering: Theory& Numerics& Applications (MATHMODS),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-jena.de/en/msc_physics" title="Physics"," Master of Science" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4160/,Akashleena,,Phase 2,
604,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of Science in Economics,,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-kassel.de/fb11agrar/studium/master-sustainable-international-agriculture" title="Master in Sustainable International Agriculture" target="_blank" rel="noopener">Go to course website</a>,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4076/,,,Phase 4,
626,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of Science in Integrated Climate System Sciences (MSc ICSS),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-kassel.de/uni/studium/economic-behaviour-and-governance-master" title="Economic Behaviour & Governance (EB&Go)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4115/,,,Phase 4,
627,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of Science in Intelligent Adaptive Systems (IAS),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-kassel.de/uni/studium/global-political-economy-and-development-master" title="Global Political Economy and Development (MA GPED)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://uni-assist.de" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4350/,,,Phase 4,
664,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of Science in Ocean and Climate Physics (MSc),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-kassel.de/uni/studium/international-food-business-and-consumer-studies-master" title="MSc International Food Business and Consumer Studies (IFBC)" target="_blank" rel="noopener">Go to course website</a>,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4423/,,,Phase 4,
672,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Master of Science in Politics& Economics and Philosophy,,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-kassel.de/uni/studium/mathematics-master" title="Master's in Mathematics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://my.uni-assist.de/?lang=en" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4079/,,,Phase 4,
755,131,6,University Hamburg,<a href="https://howtoabroad.com/the-university-of-hamburg/" title="Universität Hamburg" target="_blank" >Universität Hamburg</a>,Master's degree,Mathematical Physics (MSc),,English,,,,,none,Winter& Summer,,4 semesters,<a href="https://www.uni-kl.de/studiengang/22777/Computer_Science_Master_of_Science?lang=en" title="Computer Science (Master of Science)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://applymsc.informatik.uni-kl.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5609/,,,Phase 5,
293,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,Human Computer Interaction (HCI),,English,,,,,none,Winter& Summer,,4 semesters,<a href="https://www.uni-koblenz-landau.de/en/campus-landau/faculty7/info-prospective-students/master-environmental-sciences" title="Environmental Sciences (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4686/,Amar,,Phase 1,
593,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,Master of Science in Computer Science,,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-koblenz-landau.de/en/studies/before-studying/our-degree-programs/masters-degree-programs/applied-natural-sciences" title="Applied Natural Sciences (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4591/,Amar,,Phase 1,
344,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,International Graduate Studies in Mechatronics,,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-koblenz-landau.de/en/studies/before-studying/our-degree-programs/masters-degree-programs/e-government" title="E-Government (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3782/,,,,
386,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,International Master's Programme in Nanoscience and Nanotechnology,,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-koblenz-landau.de/en/studies/before-studying/our-degree-programs/masters-degree-programs/ma-biogeoscience" title="BioGeoSciences (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4872/,,,,
893,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,Roads to Democracies - Historical and Contemporary Perspectives on Politics and Culture,,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-koblenz-landau.de/en/studies/before-studying/our-degree-programs/masters-degree-programs/mathematical-modeling" title="Mathematical Modelling"," Simulation and Optimisation (MSc)" target="_blank" rel="noopener">Go to course website</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4142/,,,,
1144,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,Entrepreneurship and SME Management,,English&German,,,,,none,Winter& Summer,,4 semesters,<a href="https://www.uni-koblenz-landau.de/en/studies/before-studying/our-degree-programs/masters-degree-programs/web-data-science" title="Web and Data Science (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6964/,,,,
1210,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,Master of Law of the Globalised Economy,,German&English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/advanced-spectroscopy-in-chemistry-msc" title="Advanced Spectroscopy in Chemistry (ASC)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.master-asc.org/application/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4299/,,,,
602,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,Master of Science in Economic Policy Siegen,,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/anthropology-ma" title="Master of Arts Anthropology" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.gkr.uni-leipzig.de/en/institute-of-anthropology/degree-programmes/masters-programme#c162495" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4213/,,,Phase 4,
345,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,International Graduate Studies in Physics,,English,,,,,none,Winter& Summer,,4 semesters,<a href="https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/chinese-studies-ma" title="Chinese Studies" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3781/,,,Phase 5,
581,904,59,University of Siegen,<a href="https://howtoabroad.com/the-university-of-siegen/" title="University of Siegen" target="_blank" >University of Siegen</a>,Master's degree,Master of Science in Chemistry,65 (For Chemistry),English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/german-as-a-foreign-and-second-language-in-the-vietnamese-german-context-hanoi-vietnam-ma" title="Master of Arts in German as a Foreign and Second Language in the Vietnamese-German Context" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.philol.uni-leipzig.de/herder-institut/studium/deutsch-als-fremdsprache-im-vietnamesisch-deutschen-kontext-m-a" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3780/,,,Phase 4,
33,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Automation & IT (Master of Engineering),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/global-studies-ma" title="Master's in Global Studies � A European Perspective" target="_blank" rel="noopener">Go to course website</a>,<a href="https://gesi.sozphil.uni-leipzig.de/masters/globalstudies/application/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3961/,,,Phase 2,
93,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Communication Systems and Networks (Master of Science),,English,,,,,none,Winter& Summer,,3 semesters,<a href="https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/international-physics-studies-program-m-sc/" title="International Physics Studies Programme (IPSP)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4354/,,,Phase 3,
963,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Web Science (Master of Science),,English,,,,,none,Winter& Summer,,5 semesters,<a href="https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/structural-chemistry-and-spectroscopy-msc" title="Structural Chemistry and Spectroscopy (SCS)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4230/,,,Phase 3,
314,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Integrated Water Resources Management (Master of Science),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-marburg.de/en/fb02/studying/study-programmes/master-economics-and-institutions" title="Economics and Institutions (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/how-to-apply/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4523/,,,Phase 4,
843,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Natural Resources Management and Development (Master of Science),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-marburg.de/en/fb02/studying/study-programmes/masters-program-economics-of-the-middle-east-emea" title="Economics of the Middle East (EMEA)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://my.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4189/,,,Phase 4,
887,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Renewable Energy Management (Master of Science),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-marburg.de/en/fb13/academics/degree-programs/msc-fm" title="Functional Materials MSc" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-marburg.de/en/fb13/academics/degree-programs/msc-fm/how-to-apply/application-dates-and-deadlines" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4520/,,,Phase 4,
142,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Digital Games (Master of Arts),,English,,,,,none,Winter,,3 semesters,<a href="https://www.uni-marburg.de/en/studying/degree-programs/humanities/m-daf" title="German as a Foreign Language (MA)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://my.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5217/,,,,
251,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Game Development and Research (Master of Arts),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-marburg.de/en/studying/degree-programs/humanities/nastudiesma" title="North American Studies (MA)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://my.uni-assist.de/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4247/,,,,
315,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Integrated Water Resources Management (MSc Joint Exchange Programme with Focus on the Middle East and Northern Africa Region),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-marburg.de/en/studying/degree-programs/social-sciences/ibmms" title="International Business Management (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-marburg.de/en/studying/admissions/eap/eap-ibmms" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3924/,,,,
327,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,International Business (Master of Arts),,English,,,,,none,Winter,,4 semesters,<a href="https://www.uni-marburg.de/en/studying/degree-programs/social-sciences/m-ipe" title="International Political Economy (MSc Double Degree)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-marburg.de/en/studying/admissions/eap/m-ipe-eap" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3976/,,,,
354,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,International Management and Intercultural Communication (GlobalMBA& Master of Arts),,English,,,,,varied,Winter,,3 semesters,<a href="https://www.uni-marburg.de/en/studying/degree-programs/social-sciences/pacsma" title="Master of Peace and Conflict Studies (MA) (International Joint Degree)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.kent.ac.uk/courses/postgraduate/49/peace-and-conflict-studies" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3991/,,,,
1036,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Bachelor's degree,Digital Games (Bachelor of Arts),,English,,,,,none,Winter,,7 semesters,<a href="https://www.uni-muenster.de/Evolution/mgse/" title="M�nster Graduate School of Evolution (MGSE)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-muenster.de/Evolution/mgse/application/index.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4509/,,,,
1145,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Environment and Resources Management with Focus on Latin America and the Caribbean (Double Degree Master's Programme between Mexico and Germany),,English&Spanish,,,,,none,Winter,,4 semesters,<a href="https://www.uni-muenster.de/EvoPAD/de/index.html" title="Evolutionary Processes in Adaptation and Disease (DFG Research Training Group 2220 EvoPAD)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-muenster.de/EvoPAD/application/index.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3985/,,,,
1365,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Bachelor's degree,Integrated Design (Bachelor of Arts),,German&English,,,,,none,Winter,,7 semesters,<a href="https://www.uni-muenster.de/Geoinformatics/en/Studies/study_programs/master/" title="Geoinformatics (MSc)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://ifgi.uni-muenster.de/masterapplication/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4040/,,,,
310,2071,88,TH Koln (Cologne) (University of Applied Sciences),<a href="https://howtoabroad.com/th-koln/" title="TH Köln (University of Applied Sciences)" target="_blank" >TH Köln (University of Applied Sciences)</a>   "",Master's degree,Integrated Design (Master of Arts),,English,,,,,none,Summer,,3 semesters,<a href="https://www.uni-muenster.de/Geoinformatics/en/Studies/study_programs/PhD/" title="Graduate School for Geoinformatics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-muenster.de/Geoinformatics/en/Studies/study_programs/PhD/application/index.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3990/,,,Phase 5,
432,722,52,Trier University,<a href="https://howtoabroad.com/trier-university/" title="Trier University" target="_blank" >Trier University</a>,Master's degree,MA German as a Second and Foreign Language / Master of Arts Deutsch als Zweit- und Fremdsprache,,German,,,,,none,Winter& Summer,,4 semesters,<a href="https://www.uni-muenster.de/Physik/en/studying/master/geophysics.html" title="Master of Science in Geophysics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://studienbewerbung.uni-muenster.de/bewerbungsportal/Start_Page.aspx" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6967/,,,,
