_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,City,Course Name,Course Germany Ranking,Teaching language,_language Req.,_Admission without IELTS/TOEFL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine for winter,Application DeadLine for Summer,Duration,_Go to course website,Go to course website,_Submit application to,Submit application to,Post writing ,_Daad SIte,Updated By,Checked By,Comment,@
1252,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Russian Literature in a European Context (MA) Double Degree in Cooperation with Voronezh State University,6 (For Literature),"German,Russian",,,,,None,Winter,,,4 semesters,,,,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5273/,,,,
1260,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,"TransRomania Studies: Romance Languages, Literatures and Cultures (MA) Option for Double Degree",6 (For Literature),"German,French",,,,,None,"Summer, Winter",01-Jun,01-Dec,4 semesters,https://www.uni-goettingen.de/en/594443.html,"<a href=""https://www.uni-goettingen.de/en/594443.html"" title=""TransRomania Studies: Romance Languages, Literatures and Cultures (MA) Option for Double Degree"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/594443.html,"<a href=""https://www.uni-goettingen.de/en/594443.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5276/,,,,
1263,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Bachelor's degree,Göttingen,World Literature (BSc),6 (For Literature),"German,English",,,,,None,Winter,15-Jul,,6 semesters,https://www.uni-goettingen.de/en/640678.html,"<a href=""https://www.uni-goettingen.de/en/640678.html"" title=""World Literature (BSc)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/46792.html,"<a href=""https://www.uni-goettingen.de/en/46792.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 14,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5208/,,,,
1292,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,M.I.N.C. - Master of International Nature Conservation (MSc),,English,,,,,Varied,Winter,15-May,,4 semesters,https://www.uni-goettingen.de/en/39016.html,"<a href=""https://www.uni-goettingen.de/en/39016.html"" title=""M.I.N.C. - Master of International Nature Conservation (MSc)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/admission/75305.html,"<a href=""https://www.uni-goettingen.de/en/admission/75305.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 13,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6082/,,,,
1433,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Global Business,3 (For International Business),"German,English",,,,,None,Winter,15-May,,4 semesters,https://www.uni-goettingen.de/en/580332.html,"<a href=""https://www.uni-goettingen.de/en/580332.html"" title=""Global Business"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/579321.html,"<a href=""https://www.uni-goettingen.de/en/579321.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 16,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6142/,,,,
1449,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,Applied Statistics and Empirical Methods,3 (For Statistics),German,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/phd+program+applied+statistics+and+empirical+methods/421328.html,"<a href=""https://www.uni-goettingen.de/en/phd+program+applied+statistics+and+empirical+methods/421328.html"" title=""Applied Statistics and Empirical Methods"" target=""_blank"">Go to course website</a>",angewandte.statistik@uni-goettingen.de,Email to: angewandte.statistik@uni-goettingen.de,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6112/,,,,
1469,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,Physics (PhD), 22 (For Physics),German,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/488933.html,"<a href=""https://www.uni-goettingen.de/en/488933.html"" title=""Physics (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/how+to+become+a+ph.d.+student%3f/501047.html,"<a href=""https://www.uni-goettingen.de/en/how+to+become+a+ph.d.+student%3f/501047.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4810/,,,,
1480,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,GGNB Microbiology and Biochemistry (PhD),"5 (For Biochemistry), 8 (for Microbiology)",English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/222253.html,"<a href=""https://www.uni-goettingen.de/en/about+us/222253.html"" title=""GGNB Microbiology and Biochemistry (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4243/,,,,
1507,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,Behaviour and Cognition (BeCog),,English,,,,,None,"Summer, Winter ",31-Jul,31-Jan,6 semesters,https://www.uni-goettingen.de/en/212983.html,"<a href=""https://www.uni-goettingen.de/en/212983.html"" title=""Behaviour and Cognition (BeCog)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/355788.html,"<a href=""https://www.uni-goettingen.de/en/355788.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4245/,,,,
1538,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Biomolecules: Structure - Function - Dynamics (PhD),9 (For Molecular Biology),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/58088.html,"<a href=""https://www.uni-goettingen.de/en/about+us/58088.html"" title=""GGNB Biomolecules: Structure - Function - Dynamics (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3868/,,,,
1539,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Cellular and Molecular Physiology of the Brain (PhD),"9 (For Molecular Biology), 5 (For Anatomy and Physiology)",English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/58734.html,"<a href=""https://www.uni-goettingen.de/en/about+us/58734.html"" title=""GGNB Cellular and Molecular Physiology of the Brain (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3932/,,,,
1540,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Emerging Infectious Diseases - Leibniz Graduate School (PhD),5 (For Biology),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/357100.html,"<a href=""https://www.uni-goettingen.de/en/357100.html"" title=""GGNB Emerging Infectious Diseases - Leibniz Graduate School (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4402/,,,,
1541,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Genes and Development (PhD),6 (For Genetics),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/58151.html,"<a href=""https://www.uni-goettingen.de/en/about+us/58151.html"" title=""GGNB Genes and Development (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3870/,,,,
1542,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Molecular Biology of Cells (PhD),9 (For Molecular Biology),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/58145.html,"<a href=""https://www.uni-goettingen.de/en/about+us/58145.html"" title=""GGNB Molecular Biology of Cells (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3869/,,,,
1543,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Sensory and Motor Neuroscience (PhD),2 (For Neuroscience),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/58784.html,"<a href=""https://www.uni-goettingen.de/en/about+us/58784.html"" title=""GGNB Sensory and Motor Neuroscience (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3933/,,,,
1544,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Systems Neuroscience (PhD),2 (For Neuroscience),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/59318.html,"<a href=""https://www.uni-goettingen.de/en/about+us/59318.html"" title=""GGNB Systems Neuroscience (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3939/,,,,
1545,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,GGNB Theoretical and Computational Neuroscience (PhD),2 (For Neuroscience),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/about+us/87725.html,"<a href=""https://www.uni-goettingen.de/en/about+us/87725.html"" title=""GGNB Theoretical and Computational Neuroscience (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/apply/497097.html,"<a href=""https://www.uni-goettingen.de/en/apply/497097.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3936/,,,,
1559,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,RTG 2300 Enrichment of European Beech Forests with Conifers,,English,,,,,None,Any time,NA,Any time,6 semesters,https://www.uni-goettingen.de/en/574316.html,"<a href=""https://www.uni-goettingen.de/en/574316.html"" title=""RTG 2300 Enrichment of European Beech Forests with Conifers"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/offers/574387.html,"<a href=""https://www.uni-goettingen.de/en/offers/574387.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5209/,,,,
1576,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,IPAG - International PhD Programme in Agricultural Science,1 (For Agricultural Science),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/de/international+ph.d.-programme+for+agricultural+sciences+in+g%c3%b6ttingen+%28ipag%29+/534314.html,"<a href=""https://www.uni-goettingen.de/de/international+ph.d.-programme+for+agricultural+sciences+in+g%c3%b6ttingen+%28ipag%29+/534314.html"" title=""IPAG - International PhD Programme in Agricultural Science"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/de/bewerbung+und+einschreibung/532016.html,"<a href=""https://www.uni-goettingen.de/de/bewerbung+und+einschreibung/532016.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3668/,,,,
1595,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,PhD Programme in Mathematical Sciences,,English,,,,,None,Any time,NA,Any time,6 semesters,http://www.math.uni-goettingen.de/promotion/index_en.html,"<a href=""http://www.math.uni-goettingen.de/promotion/index_en.html"" title=""PhD Programme in Mathematical Sciences"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/call+for+applications/admission/473513.html,"<a href=""https://www.uni-goettingen.de/en/call+for+applications/admission/473513.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3941/,,,,
1602,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,Research Training Group 2088 — Discovering Structure in Complex Data: Statistics Meets Optimisation and Inverse Problems,3 (For Statistics),English,,,,,,Any time,varied,Any time,6 semesters,https://www.uni-goettingen.de/en/514290.html,"<a href=""https://www.uni-goettingen.de/en/514290.html"" title=""Research Training Group 2088 — Discovering Structure in Complex Data: Statistics Meets Optimisation and Inverse Problems"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/open+positions/515220.html,"<a href=""https://www.uni-goettingen.de/en/open+positions/515220.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6897/,,,,
1610,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",PhD / Doctorate,Göttingen,Wood Biology and Wood Technology (PhD),5 (For Biology),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.uni-goettingen.de/en/phd+programme+wood+biology+and+wood+technology/532015.html,"<a href=""https://www.uni-goettingen.de/en/phd+programme+wood+biology+and+wood+technology/532015.html"" title=""Wood Biology and Wood Technology (PhD)"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/application+and+enrolment/532016.html,"<a href=""https://www.uni-goettingen.de/en/application+and+enrolment/532016.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3694/,,,,
1681,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Iranian and Persianate Studies,,English,,,,,None,"Summer, Winter",30-Apr,31-Oct,4 semesters,https://www.uni-goettingen.de/de/40208.html,"<a href=""https://www.uni-goettingen.de/de/40208.html"" title=""Iranian and Persianate Studies"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/de/209399.html,"<a href=""https://www.uni-goettingen.de/de/209399.html"" title=""Submit application"" target=""_blank"">Submit application",,,,,,
1682,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Linguistics,,English,,,,,None,"Summer, Winter",30-Apr,31-Oct,4 semesters,https://www.uni-goettingen.de/de/39883.html,"<a href=""https://www.uni-goettingen.de/de/39883.html"" title=""Linguistics"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/de/209399.html,"<a href=""https://www.uni-goettingen.de/de/209399.html"" title=""Submit application"" target=""_blank"">Submit application",,,,,,
1683,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Molecular Medicine,,English,,,,,None,Winter,30-Apr,,4 semesters,https://www.uni-goettingen.de/de/41166.html,"<a href=""https://www.uni-goettingen.de/de/41166.html"" title=""Molecular Medicine"" target=""_blank"">Go to course website</a>",https://www.umg.eu/studium-lehre/studieninteressierte/studienbewerbung/bewerbung-master-molekulare-medizin/,"<a href=""https://www.umg.eu/studium-lehre/studieninteressierte/studienbewerbung/bewerbung-master-molekulare-medizin/"" title=""Submit application"" target=""_blank"">Submit application",,,,,,
1684,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Applied Data Science,,English,,,,,None,"Summer, Winter",15-Apr,15-Oct,4 semesters,https://www.uni-goettingen.de/de/643211.html,"<a href=""https://www.uni-goettingen.de/de/643211.html"" title=""Applied Data Science"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/de/642406.html,"<a href=""https://www.uni-goettingen.de/de/642406.html"" title=""Submit application"" target=""_blank"">Submit application",,,,,,
1685,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,International Nature Conservation,,English,,,,,None,Winter,30-Apr,,4 semesters,https://www.uni-goettingen.de/de/39016.html,"<a href=""https://www.uni-goettingen.de/de/39016.html"" title=""International Nature Conservation"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/de/74766.html,"<a href=""https://www.uni-goettingen.de/de/74766.html"" title=""Submit application"" target=""_blank"">Submit application",,,,,,
1686,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Geowissenschaften/Geoscience,,English,,,,,None,"Summer, Winter",30-Apr,31-Oct,4 semesters,https://www.uni-goettingen.de/en/38064.html,"<a href=""https://www.uni-goettingen.de/en/38064.html"" title=""Geowissenschaften/Geoscience"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/en/59723.html,"<a href=""https://www.uni-goettingen.de/en/59723.html"" title=""Submit application"" target=""_blank"">Submit application",,,,,,
1687,123,4,University of Gottingen,"<a href=""https://howtoabroad.com/university-of-gottingen/"" title=""University of Göttingen"" rel=""noopener"" target=""_blank"">University of Göttingen</a>   ",Master's degree,Göttingen,Digital Humanities,,English,,,,,None,"Summer, Winter",30-Apr,31-Oct,4 semesters,https://www.uni-goettingen.de/de/652252.html,"<a href=""https://www.uni-goettingen.de/de/652252.html"" title=""Digital Humanities"" target=""_blank"">Go to course website</a>",https://www.uni-goettingen.de/de/209399.html,"<a href=""https://www.uni-goettingen.de/de/209399.html"" title=""Submit application"" target=""_blank"">Submit application",,,,,,
64,124,5,University of Bonn,"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"">University of Bonn</a> ",Master's degree,Bonn,Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Astrophysics (Bonn),2 (For Astrophysics),English,IELTS 6.5/TOEFL (iBT 80),NO,,NA,None,Winter,01-May,,4 semesters,https://www.gradschool.physics.uni-bonn.de/,"<a href=""https://www.gradschool.physics.uni-bonn.de/"" title=""Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Astrophysics (Bonn)"" target=""_blank"">Go to course website</a>",http://www.gradschool.physics.uni-bonn.de/#section-8,"<a href=""http://www.gradschool.physics.uni-bonn.de/#section-8"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 5,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3843/,,,,
65,124,5,University of Bonn,"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"">University of Bonn</a> ",Master's degree,Bonn,Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Physics (Bonn),2 (For Astronomy),English,IELTS 6.5/TOEFL (iBT 80),NO,,NA,None,Winter,01-May,,4 semesters,https://www.gradschool.physics.uni-bonn.de/,"<a href=""https://www.gradschool.physics.uni-bonn.de/"" title=""Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Physics (Bonn)"" target=""_blank"">Go to course website</a>",http://www.gradschool.physics.uni-bonn.de/#section-8,"<a href=""http://www.gradschool.physics.uni-bonn.de/#section-8"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 5,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3842/,,,,
256,124,5,University of Bonn,"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"">University of Bonn</a> ",Master's degree,Bonn,Geodetic Engineering MSc,29 ( Geodetic Engineering MSc ),English,"IELTS 6.5,TOEFL (iBT- 90,PBT-575)",YES ,NA,NA,None,Winter,13-Jun,,4 semesters,https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/geodetic-engineering-msc,"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/geodetic-engineering-msc"" title=""Geodetic Engineering MSc"" target=""_blank"">Go to course website</a>",https://www.ge.uni-bonn.de/prospective-students/requirements/requirements,"<a href=""https://www.ge.uni-bonn.de/prospective-students/requirements/requirements"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 2,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7030/,,,,
257,124,5,University of Bonn,"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"">University of Bonn</a> ",Master's degree,Bonn,Geography of Environmental Risks and Human Security (MSc),2 (For Geography),English,,,,,None,Winter,15-Dec,,4 semesters,https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/geography-of-environmental-risks-and-human-security-msc,"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/geography-of-environmental-risks-and-human-security-msc"" title=""Geography of Environmental Risks and Human Security (MSc)"" target=""_blank"">Go to course website</a>",https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-admission-and-enrollment,"<a href=""https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-admission-and-enrollment"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 9,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4342/,,,,
389,124,5,University of Bonn,"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"">University of Bonn</a> ",Master's degree,Bonn,International Master's Programme in Plant Sciences,,English,IELTS 6.0/ TOEFL(IBT/PBT 550/CBT 213)/OTHERS,YES ,NA,NA,None,Winter,01-May,,4 semesters,https://www.plantsciences.uni-bonn.de/,"<a href=""https://www.plantsciences.uni-bonn.de/"" title=""International Master's Programme in Plant Sciences"" target=""_blank"">Go to course website</a>",https://www.plantsciences.uni-bonn.de/admission-1,"<a href=""https://www.plantsciences.uni-bonn.de/admission-1"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4721/,,,,
553,124,5,University of Bonn,"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"">University of Bonn</a> ",Master's degree,Bonn,Master of Neurosciences,10 (For Neuroscience),English,IELTS 6.0/TOEFL(iBT 79)/Others,YES ,,NA,None,Winter,15-Mar,,4 semesters,https://www.neurosciences.uni-bonn.de/,"<a href=""https://www.neurosciences.uni-bonn.de/"" title=""Master of Neurosciences"" target=""_blank"">Go to course website</a>",https://www.neurosciences.uni-bonn.de/entry-requirements-and-application/entry-requirements-and-application,"<a href=""https://www.neurosciences.uni-bonn.de/entry-requirements-and-application/entry-requirements-and-application"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 8,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4060/,,,,
603,124,5,University of Bonn,"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"">University of Bonn</a> ",Master's degree,Bonn,Master of Science in Economics,4 (For Economics),English,IELTS 6.0/ TOEFL(IBT 87/PBT/CBT)/OTHERS ,YES ,2.3,NA,None,Winter,30-Apr,,4 semesters,https://www.bgse.uni-bonn.de/en/graduate-programs/m.sc.-in-economics,"<a href=""https://www.bgse.uni-bonn.de/en/graduate-programs/m.sc.-in-economics"" title=""Master of Science in Economics"" target=""_blank"">Go to course website</a>",https://masterapplication.uni-bonn.de/movein/hosted/online/move/movein/portal/studyportal.php?_language=en,"<a href=""https://masterapplication.uni-bonn.de/movein/hosted/online/move/movein/portal/studyportal.php?_language=en"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4034/,,,,
